1	47999999	52000000	Region1
2	85999999	100500000	Region2
2	134499999	138000000	Region3
2	182999999	190000000	Region4
3	47499999	50000000	Region5
3	83499999	87000000	Region6
3	88999999	97500000	Region7
5	44499999	50500000	Region8
5	97999999	100500000	Region9
5	128999999	132000000	Region10
5	135499999	138500000	Region11
6	24999999	35000000	Region12
6	56999999	64000000	Region13
6	139999999	142500000	Region14
7	54999999	66000000	Region15
8	6999999	13000000	Region16
8	42999999	50000000	Region17
8	111999999	115000000	Region18
10	36999999	43000000	Region19
11	45999999	57000000	Region20
11	87499999	90500000	Region21
12	32999999	40000000	Region22
12	109499999	112000000	Region23
20	31999999	34500000	Region24

